Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"I10_1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
15,58000;0,93445;10367,06775;1,26954;0,00125;129,58835;0,12464;0,04094;0,02943;-0,00302
15,68000;0,94023;10414,08420;1,26967;0,00127;130,17605;0,12674;0,04163;0,04439;-0,00455
15,78000;0,94650;10467,47357;1,26947;0,00129;130,84342;0,12928;0,04247;0,03782;-0,00388
15,88000;0,95239;10513,58074;1,26954;0,00128;131,41976;0,12781;0,04198;0,03338;-0,00342
15,98000;0,95829;10566,40506;1,26973;0,00130;132,08006;0,12974;0,04262;0,03687;-0,00378
16,08000;0,96439;10614,40140;1,26958;0,00132;132,68002;0,13157;0,04322;0,03487;-0,00358
16,18000;0,97023;10663,22029;1,26966;0,00134;133,29025;0,13377;0,04394;0,03112;-0,00319
16,28000;0,97650;10714,20372;1,26980;0,00138;133,92755;0,13823;0,04541;0,03821;-0,00392
16,38000;0,98229;10761,54381;1,26959;0,00136;134,51930;0,13618;0,04473;0,03130;-0,00321
16,48000;0,98839;10816,24389;1,26972;0,00138;135,20305;0,13780;0,04527;0,04198;-0,00430
16,58000;0,99439;10864,86429;1,26982;0,00138;135,81080;0,13814;0,04538;0,04101;-0,00420
16,68000;1,00018;10917,68235;1,26977;0,00139;136,47103;0,13881;0,04560;0,04921;-0,00505
16,78000;1,00655;10972,87863;1,26964;0,00144;137,16098;0,14354;0,04715;0,05266;-0,00540
16,88000;1,01228;11024,12313;1,26971;0,00146;137,80154;0,14601;0,04796;0,04500;-0,00461
16,98000;1,01850;11084,71423;1,26982;0,00138;138,55893;0,13837;0,04545;0,05041;-0,00517
17,08000;1,02439;11138,07321;1,26962;0,00147;139,22592;0,14722;0,04836;0,05339;-0,00547
17,18000;1,03023;11196,61063;1,26983;0,00147;139,95763;0,14698;0,04828;0,05544;-0,00568
17,28000;1,03639;11252,16275;1,26972;0,00149;140,65203;0,14903;0,04895;0,05878;-0,00603
17,38000;1,04229;11306,86730;1,26969;0,00148;141,33584;0,14763;0,04849;0,06291;-0,00645
17,48000;1,04855;11366,19866;1,26967;0,00151;142,07748;0,15082;0,04954;0,06259;-0,00642
17,58000;1,05434;11419,20716;1,26986;0,00152;142,74009;0,15156;0,04978;0,05889;-0,00604
17,68000;1,06034;11479,63732;1,26973;0,00155;143,49547;0,15490;0,05088;0,06539;-0,00670
17,78000;1,06645;11533,91451;1,26970;0,00155;144,17393;0,15476;0,05083;0,07218;-0,00740
