Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"4"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
19,63200;1,17766;11326,02543;1,28652;0,00159;141,57532;0,15899;0,05453;0,11886;-0,01198
19,73200;1,18355;11379,57305;1,28650;0,00157;142,24466;0,15750;0,05402;0,11877;-0,01197
19,83200;1,18982;11438,56376;1,28645;0,00158;142,98205;0,15753;0,05403;0,12595;-0,01269
19,93200;1,19566;11491,84853;1,28660;0,00151;143,64811;0,15134;0,05191;0,12932;-0,01303
20,03200;1,20166;11550,90988;1,28635;0,00148;144,38637;0,14843;0,05091;0,12630;-0,01273
20,13200;1,20766;11604,47270;1,28649;0,00149;145,05591;0,14949;0,05127;0,13374;-0,01348
20,23200;1,21345;11659,82813;1,28621;0,00148;145,74785;0,14792;0,05074;0,14948;-0,01507
20,33200;1,21982;11717,12726;1,28616;0,00147;146,46409;0,14725;0,05051;0,14010;-0,01412
20,43200;1,22561;11769,70840;1,28635;0,00147;147,12135;0,14668;0,05031;0,14798;-0,01491
20,53200;1,23171;11831,40010;1,28655;0,00147;147,89250;0,14676;0,05034;0,14706;-0,01482
20,63200;1,23771;11884,80914;1,28659;0,00148;148,56011;0,14794;0,05074;0,14875;-0,01499
20,73200;1,24355;11941,79356;1,28637;0,00145;149,27242;0,14518;0,04979;0,15516;-0,01564
20,83200;1,24966;11997,98316;1,28626;0,00146;149,97479;0,14554;0,04992;0,14227;-0,01434
20,93200;1,25561;12051,59336;1,28596;0,00145;150,64492;0,14456;0,04958;0,13311;-0,01342
21,03200;1,26177;12111,30828;1,28647;0,00145;151,39135;0,14543;0,04988;0,11078;-0,01117
21,13200;1,26761;12165,76874;1,28652;0,00151;152,07211;0,15051;0,05162;0,09538;-0,00961
21,23200;1,27355;12224,98298;1,28654;0,00148;152,81229;0,14834;0,05088;0,08652;-0,00872
21,33200;1,27971;12280,79259;1,28654;0,00155;153,50991;0,15475;0,05308;0,08697;-0,00877
21,43200;1,28550;12336,10421;1,28655;0,00152;154,20130;0,15186;0,05209;0,08705;-0,00877
21,53200;1,29187;12395,78426;1,28657;0,00156;154,94730;0,15627;0,05360;0,08831;-0,00890
21,63200;1,29766;12448,65775;1,28666;0,00158;155,60822;0,15792;0,05416;0,08267;-0,00833
21,73200;1,30361;12509,05752;1,28642;0,00160;156,36322;0,15976;0,05479;0,08511;-0,00858
21,83200;1,30966;12564,08662;1,28642;0,00162;157,05108;0,16203;0,05558;0,08232;-0,00830
21,93200;1,31550;12620,37545;1,28647;0,00166;157,75469;0,16589;0,05690;0,08604;-0,00867
22,03200;1,32177;12679,31700;1,28658;0,00167;158,49146;0,16677;0,05720;0,08892;-0,00896
22,13200;1,32761;12733,17933;1,28645;0,00167;159,16474;0,16657;0,05713;0,09118;-0,00919
22,23200;1,33371;12793,93673;1,28658;0,00168;159,92421;0,16777;0,05754;0,09130;-0,00920
22,33200;1,33966;12849,11335;1,28656;0,00170;160,61392;0,16980;0,05824;0,09792;-0,00987
22,43200;1,34555;12908,07635;1,28659;0,00173;161,35095;0,17259;0,05920;0,10302;-0,01038
22,53200;1,35171;12964,62268;1,28677;0,00173;162,05778;0,17262;0,05921;0,09506;-0,00958
22,63200;1,35755;13019,92446;1,28662;0,00174;162,74906;0,17429;0,05978;0,10112;-0,01019
22,73200;1,36382;13081,70915;1,28684;0,00173;163,52136;0,17317;0,05940;0,11254;-0,01134
22,83200;1,36971;13135,85758;1,28675;0,00178;164,19822;0,17785;0,06100;0,10907;-0,01099
22,93200;1,37555;13196,18404;1,28664;0,00179;164,95230;0,17937;0,06152;0,11631;-0,01172
23,03200;1,38166;13253,18545;1,28679;0,00178;165,66482;0,17760;0,06091;0,10796;-0,01088
23,13200;1,38750;13308,94232;1,28691;0,00178;166,36178;0,17760;0,06092;0,11598;-0,01169
23,23200;1,39377;13368,70819;1,28691;0,00182;167,10885;0,18246;0,06258;0,11642;-0,01173
23,33200;1,39966;13425,24201;1,28688;0,00185;167,81553;0,18527;0,06354;0,10978;-0,01106
23,43200;1,40566;13487,02222;1,28688;0,00182;168,58778;0,18197;0,06241;0,11453;-0,01154
23,53200;1,41166;13544,22390;1,28691;0,00184;169,30280;0,18407;0,06313;0,12286;-0,01238
23,63200;1,41750;13602,09256;1,28710;0,00184;170,02616;0,18429;0,06321;0,12547;-0,01265
23,73200;1,42382;13660,95006;1,28700;0,00188;170,76188;0,18767;0,06437;0,11961;-0,01205
23,83200;1,42961;13716,37166;1,28694;0,00186;171,45465;0,18563;0,06367;0,12250;-0,01235
23,93200;1,43566;13779,67894;1,28695;0,00189;172,24599;0,18925;0,06491;0,12106;-0,01220
24,03200;1,44166;13835,47336;1,28712;0,00192;172,94342;0,19231;0,06596;0,13308;-0,01341
24,13200;1,44750;13896,16281;1,28687;0,00195;173,70204;0,19533;0,06700;0,13621;-0,01373
24,23200;1,45371;13956,60371;1,28698;0,00193;174,45755;0,19292;0,06617;0,13687;-0,01380
