Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
9,14800;0,54895;7061,05962;0,09278;0,00172;88,37371;0,17185;0,04939;-0,04092;0,00428
9,24800;0,55479;7117,34936;0,09242;0,00172;89,07821;0,17193;0,04941;-0,04033;0,00422
9,34800;0,56095;7182,30218;0,09271;0,00170;89,89114;0,17022;0,04892;-0,03054;0,00319
9,44800;0,56684;7238,28033;0,09308;0,00170;90,59174;0,16986;0,04882;-0,04155;0,00434
9,54800;0,57268;7299,76103;0,09288;0,00164;91,36121;0,16400;0,04713;-0,03658;0,00383
9,64800;0,57889;7358,22558;0,09311;0,00167;92,09294;0,16740;0,04811;-0,03646;0,00381
9,74800;0,58473;7415,16307;0,09322;0,00164;92,80555;0,16398;0,04713;-0,03876;0,00405
9,84800;0,59100;7477,62367;0,09255;0,00164;93,58728;0,16385;0,04709;-0,03878;0,00406
9,94800;0,59684;7533,64295;0,09285;0,00162;94,28840;0,16230;0,04664;-0,03698;0,00387
10,04800;0,60284;7595,60376;0,09259;0,00160;95,06388;0,16013;0,04602;-0,03626;0,00379
10,14800;0,60884;7651,81035;0,09326;0,00162;95,76734;0,16179;0,04650;-0,03359;0,00351
10,24800;0,61468;7709,11932;0,09256;0,00159;96,48460;0,15869;0,04561;-0,03882;0,00406
10,34800;0,62100;7768,78059;0,09316;0,00162;97,23130;0,16226;0,04663;-0,04304;0,00450
10,44800;0,62679;7822,75379;0,09313;0,00161;97,90681;0,16078;0,04621;-0,04181;0,00437
10,54800;0,63289;7884,82994;0,09225;0,00160;98,68373;0,15993;0,04596;-0,03580;0,00374
10,64800;0,63884;7939,61048;0,09308;0,00163;99,36934;0,16290;0,04682;-0,03968;0,00415
10,74800;0,64468;7997,27976;0,09318;0,00165;100,09111;0,16483;0,04737;-0,02945;0,00308
10,84800;0,65095;8055,70811;0,09249;0,00166;100,82238;0,16650;0,04785;-0,03070;0,00321
10,94800;0,65684;8109,97546;0,09266;0,00168;101,50157;0,16821;0,04834;-0,04263;0,00446
11,04800;0,66295;8170,99124;0,09317;0,00177;102,26522;0,17711;0,05090;-0,03249;0,00340
11,14800;0,66889;8225,32117;0,09295;0,00187;102,94520;0,18703;0,05375;-0,03020;0,00316
11,24800;0,67473;8283,37580;0,09310;0,00181;103,67179;0,18088;0,05198;-0,02939;0,00307
11,34800;0,68084;8337,71735;0,09261;0,00186;104,35191;0,18567;0,05336;-0,02616;0,00274
11,44800;0,68668;8391,60204;0,09263;0,00187;105,02631;0,18652;0,05360;-0,02311;0,00242
11,54800;0,69300;8451,28208;0,09261;0,00188;105,77324;0,18785;0,05399;-0,02709;0,00283
